#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Escherichia coli	K-12 substr. RV308	19668	SAMEA2547783 	PRJEB6354	Proteobacteria	Gammaproteobacteria	GCA_000952955.1 	4.58562	50.8	chromosome 1:NZ_LM995446.1/LM995446.1	-	1	4721	4401	2014/09/23	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/955/GCF_000952955.1_EcRV308Chr	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/955/GCA_000952955.1_EcRV308Chr
Escherichia coli	K-12 substr. HMS174	19668	SAMEA2547782 	PRJEB6353	Proteobacteria	Gammaproteobacteria	GCA_000953515.1 	4.58486	50.8	chromosome 1:NZ_LM993812.1/LM993812.1	-	1	4721	4398	2014/09/23	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/515/GCF_000953515.1_EcHMS174Chr	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/515/GCA_000953515.1_EcHMS174Chr
Escherichia coli	HUSEC2011	19668	SAMEA3865278 	PRJEA76335	Proteobacteria	Gammaproteobacteria	GCA_000967155.1 	5.44334	50.6352	chromosome I:NZ_HF572917.1/HF572917.2; plasmid II:NC_022742.1/HE610900.2; plasmid III:NC_022743.1/HE610901.2; plasmid IV:NC_022741.1/HE610902.1	-	4	5766	5322	2015/01/07	2017/09/20	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/155/GCF_000967155.2_HUSEC2011CHR1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/967/155/GCA_000967155.1_HUSEC2011CHR1
Escherichia coli VR50	VR50	19668	SAMN03371467 	PRJEA61445	Proteobacteria	Gammaproteobacteria	GCA_000968515.1 	5.19607	50.785	chromosome:NZ_CP011134.1/CP011134.1; plasmid pVR50A:NZ_CP011135.1/CP011135.1; plasmid pVR50B:NZ_CP011136.1/CP011136.1; plasmid pVR50C:NZ_CP011137.1/CP011137.1; plasmid pVR50D:NZ_CP011138.1/CP011138.1; plasmid pVR50E:NZ_CP011139.1/CP011139.1; plasmid pVR50F:NZ_CP011140.1/CP011140.1; plasmid pVR50G:NZ_CP011141.1/CP011141.1; plasmid pVR50H:NZ_CP011142.1/CP011142.1; plasmid pVR50I:NZ_CP011143.1/CP011143.1	-	10	5400	4966	2015/04/02	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/515/GCF_000968515.1_ASM96851v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/968/515/GCA_000968515.1_ASM96851v1
Escherichia coli	CI5	19668	SAMN03390066 	PRJNA277394	Proteobacteria	Gammaproteobacteria	GCA_000971615.1 	5.09264	50.6576	chromosome:NZ_CP011018.1/CP011018.1; plasmid unnamed:NZ_CP011019.1/CP011019.1	-	2	5280	4962	2015/04/13	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/615/GCF_000971615.1_ASM97161v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/971/615/GCA_000971615.1_ASM97161v1
Escherichia coli K-12	ER3454	19668	SAMN03277616 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974405.1 	4.61973	50.8	chromosome:NZ_CP010438.1/CP010438.1	-	1	4768	4431	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/405/GCF_000974405.1_ASM97440v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/405/GCA_000974405.1_ASM97440v1
Escherichia coli K-12	ER3440	19668	SAMN03277613 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974465.1 	4.60454	50.8	chromosome:NZ_CP010439.1/CP010439.1	-	1	4761	4423	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/465/GCF_000974465.1_ASM97446v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/465/GCA_000974465.1_ASM97446v1
Escherichia coli K-12	ER3476	19668	SAMN03277619 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974505.1 	4.62116	50.8	chromosome:NZ_CP010440.1/CP010440.1	-	1	4771	4410	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/505/GCF_000974505.1_ASM97450v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/505/GCA_000974505.1_ASM97450v1
Escherichia coli K-12	ER3445	19668	SAMN03277614 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974535.1 	4.60763	50.8	chromosome:NZ_CP010441.1/CP010441.1	-	1	4747	4414	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/535/GCF_000974535.1_ASM97453v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/535/GCA_000974535.1_ASM97453v1
Escherichia coli K-12	ER3466	19668	SAMN03277617 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974575.1 	4.66043	50.8	chromosome:NZ_CP010442.1/CP010442.1	-	1	4806	4467	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/575/GCF_000974575.1_ASM97457v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/575/GCA_000974575.1_ASM97457v1
Escherichia coli K-12	ER3446	19668	SAMN03277615 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974825.1 	4.60686	50.8	chromosome:NZ_CP010443.1/CP010443.1	-	1	4745	4414	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/825/GCF_000974825.1_ASM97482v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/825/GCA_000974825.1_ASM97482v1
Escherichia coli K-12	ER3475	19668	SAMN03277618 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974865.1 	4.60963	50.8	chromosome:NZ_CP010444.1/CP010444.1	-	1	4747	4415	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/865/GCF_000974865.1_ASM97486v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/865/GCA_000974865.1_ASM97486v1
Escherichia coli K-12	ER3435	19668	SAMN03277612 	PRJNA271807	Proteobacteria	Gammaproteobacteria	GCA_000974885.1 	4.68209	50.8	chromosome:NZ_CP010445.1/CP010445.1	-	1	4823	4499	2015/04/21	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/974/885/GCF_000974885.1_ASM97488v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/974/885/GCA_000974885.1_ASM97488v1
Escherichia coli K-12	K-12 substr. AG100	19668	SAMEA3143339 	PRJEB7832	Proteobacteria	Gammaproteobacteria	GCA_000981485.1 	4.63813	50.8	chromosome I:NZ_LN832404.1/LN832404.1	-	1	4773	4454	2015/04/02	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/485/GCF_000981485.1_EcoliK12AG100	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/981/485/GCA_000981485.1_EcoliK12AG100
Escherichia coli O104:H4 str. C227-11	C227-11	19668	SAMN03856947 	PRJNA281410	Proteobacteria	Gammaproteobacteria	GCA_000986765.1 	5.44601	50.6146	chromosome:NZ_CP011331.1/CP011331.1; plasmid unnamed:NZ_CP011332.1/CP011332.1; plasmid unnamed:NZ_CP011333.1/CP011333.1; plasmid unnamed:NZ_CP011334.1/CP011334.1; plasmid unnamed:NZ_CP011335.1/CP011335.1; plasmid unnamed:NZ_CP011336.1/CP011336.1; plasmid unnamed:NZ_CP011337.1/CP011337.1; plasmid unnamed:NZ_CP011338.1/CP011338.1	-	8	5783	5335	2015/04/30	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/986/765/GCF_000986765.1_ASM98676v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/986/765/GCA_000986765.1_ASM98676v1
Escherichia coli	SEC470	19668	SAMN03576594 	PRJNA244370	Proteobacteria	Gammaproteobacteria	GCA_000987875.1 	5.15343	50.8	chromosome:NZ_CP007594.1/CP007594.1	-	1	5405	4978	2015/05/04	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/875/GCF_000987875.1_ASM98787v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/875/GCA_000987875.1_ASM98787v1
Escherichia coli	SQ37	19668	SAMN03276545 	PRJNA241498	Proteobacteria	Gammaproteobacteria	GCA_000988355.1 	4.63346	50.8	chromosome:NZ_CP011320.1/CP011320.1	-	1	4772	4470	2015/05/06	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/355/GCF_000988355.1_ASM98835v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/355/GCA_000988355.1_ASM98835v1
Escherichia coli	SQ88	19668	SAMN03276546 	PRJNA241498	Proteobacteria	Gammaproteobacteria	GCA_000988385.1 	4.61088	50.8	chromosome:NZ_CP011321.1/CP011321.1	-	1	4752	4472	2015/05/06	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/385/GCF_000988385.1_ASM98838v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/385/GCA_000988385.1_ASM98838v1
Escherichia coli	SQ2203	19668	SAMN03276542 	PRJNA241498	Proteobacteria	Gammaproteobacteria	GCA_000988465.1 	4.6053	50.8	chromosome:NZ_CP011324.1/CP011324.1	-	1	4747	4471	2015/05/06	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/465/GCF_000988465.1_ASM98846v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/988/465/GCA_000988465.1_ASM98846v1
Escherichia coli	CFSAN029787	19668	SAMN03612246 	PRJNA243331	Proteobacteria	Gammaproteobacteria	GCA_001007915.1 	5.28895	50.4821	chromosome:NZ_CP011416.1/CP011416.1; plasmid pCFSAN029787_01:NZ_CP011417.1/CP011417.1; plasmid pCFSAN029787_02:NZ_CP011418.1/CP011418.1	-	3	5601	5114	2015/05/15	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/915/GCF_001007915.1_ASM100791v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/915/GCA_001007915.1_ASM100791v1
Escherichia coli K-12	K-12 substr. GM4792	19668	SAMN02404591 	PRJNA224130	Proteobacteria	Gammaproteobacteria	GCA_001020945.2 	4.62234	50.8	chromosome:NZ_CP011342.2/CP011342.2	-	1	4752	4430	2015/06/05	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/945/GCF_001020945.2_ASM102094v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/020/945/GCA_001020945.2_ASM102094v2
Escherichia coli K-12	K-12 substr. GM4792	19668	SAMN02404590 	PRJNA224131	Proteobacteria	Gammaproteobacteria	GCA_001021005.2 	4.62166	50.8	chromosome:NZ_CP011343.2/CP011343.2	-	1	4757	4429	2015/06/05	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/005/GCF_001021005.2_ASM102100v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/005/GCA_001021005.2_ASM102100v2
Escherichia coli	NMEC O18	19668	SAMN02666437 	PRJNA239361	Proteobacteria	Gammaproteobacteria	GCA_001021595.1 	5.00278	50.7	chromosome:NZ_CP007275.1/CP007275.1	-	1	5147	4832	2015/06/08	2017/06/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/595/GCF_001021595.1_ASM102159v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/595/GCA_001021595.1_ASM102159v1
Escherichia coli APEC O18	APEC O18	19668	SAMN03761813 	PRJNA219414	Proteobacteria	Gammaproteobacteria	GCA_001021615.1 	5.00657	50.7	chromosome:NZ_CP006830.1/CP006830.1	-	1	5149	4850	2015/06/08	2017/06/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/615/GCF_001021615.1_APECO18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/615/GCA_001021615.1_APECO18
Escherichia coli APEC O2-211	APEC O2-211	19668	SAMN03761814 	PRJNA219410	Proteobacteria	Gammaproteobacteria	GCA_001021635.1 	5.11251	50.6	chromosome:NZ_CP006834.1/CP006834.1	-	1	5318	4925	2015/06/08	2017/05/09	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/635/GCF_001021635.1_ASM102163v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/021/635/GCA_001021635.1_ASM102163v1
Escherichia coli PCN061	PCN061	19668	SAMN03765122 	PRJNA211971	Proteobacteria	Gammaproteobacteria	GCA_001029125.1 	4.90182	50.7931	chromosome:NZ_CP006636.1/CP006636.1; plasmid PCN061p1:NZ_CP006637.1/CP006637.1; plasmid PCN061p2:NZ_CP006638.1/CP006638.1; plasmid PCN061p3:NZ_CP006639.1/CP006639.1; plasmid PCN061p4:NZ_CP006640.1/CP006640.1; plasmid PCN061p5:NZ_CP006641.1/CP006641.1; plasmid PCN061p6:NZ_CP006642.1/CP006642.1	-	7	5178	4685	2015/06/17	2017/03/22	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/125/GCF_001029125.1_ASM102912v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/029/125/GCA_001029125.1_ASM102912v1
Escherichia coli	C43(DE3)	19668	SAMN03761398 	PRJNA275043	Proteobacteria	Gammaproteobacteria	GCA_001039415.1 	4.50145	50.8	chromosome:NZ_CP011938.1/CP011938.1	-	1	4649	4293	2015/06/25	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/415/GCF_001039415.1_ASM103941v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/039/415/GCA_001039415.1_ASM103941v1
Escherichia coli	NCM3722	19668	SAMN03659038 	PRJNA284094	Proteobacteria	Gammaproteobacteria	GCA_001043215.1 	4.74559	50.7142	chromosome:NZ_CP011495.1/CP011495.1; plasmid F:NZ_CP011496.1/CP011496.1	-	2	4933	4603	2015/06/30	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/215/GCF_001043215.1_ASM104321v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/043/215/GCA_001043215.1_ASM104321v1
Escherichia coli ACN001	ACN001	19668	SAMN03852615 	PRJNA194515	Proteobacteria	Gammaproteobacteria	GCA_001051135.1 	4.93658	50.7	chromosome:NZ_CP007442.1/CP007442.1	-	1	5066	4703	2015/07/09	2017/02/23	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/135/GCF_001051135.1_ASM105113v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/051/135/GCA_001051135.1_ASM105113v1
Escherichia coli	DH1Ec095	19668	SAMN03861948 	PRJNA290012	Proteobacteria	Gammaproteobacteria	GCA_001183645.1 	4.61422	50.8	chromosome:NZ_CP012125.1/CP012125.1	-	1	4733	4414	2015/07/21	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/645/GCF_001183645.1_ASM118364v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/645/GCA_001183645.1_ASM118364v1
Escherichia coli	DH1Ec104	19668	SAMN03863255 	PRJNA290012	Proteobacteria	Gammaproteobacteria	GCA_001183665.1 	4.61236	50.8	chromosome:NZ_CP012126.1/CP012126.1	-	1	4734	4413	2015/07/21	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/665/GCF_001183665.1_ASM118366v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/665/GCA_001183665.1_ASM118366v1
Escherichia coli	DH1Ec169	19668	SAMN03863378 	PRJNA290012	Proteobacteria	Gammaproteobacteria	GCA_001183685.1 	4.60952	50.8	chromosome:NZ_CP012127.1/CP012127.1	-	1	4732	4411	2015/07/21	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/685/GCF_001183685.1_ASM118368v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/183/685/GCA_001183685.1_ASM118368v1
Escherichia coli	RR1	19668	SAMN03384316 	PRJNA272568	Proteobacteria	Gammaproteobacteria	GCA_001276585.2 	4.58729	50.8	chromosome:NZ_CP011113.2/CP011113.2	-	1	4715	4389	2015/08/31	2017/02/26	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/276/585/GCF_001276585.2_ASM127658v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/276/585/GCA_001276585.2_ASM127658v2
Escherichia coli	SF-088	19668	SAMN04026225 	PRJNA294467	Proteobacteria	Gammaproteobacteria	GCA_001280325.1 	5.207	50.6116	chromosome:NZ_CP012635.1/CP012635.1; plasmid pSF-088-1:NZ_CP012636.1/CP012636.1; plasmid pSF-088-2:NZ_CP012637.1/CP012637.1; plasmid pSF-088-3:NZ_CP012638.1/CP012638.1	-	4	5451	5085	2015/09/09	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/325/GCF_001280325.1_ASM128032v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/325/GCA_001280325.1_ASM128032v1
Escherichia coli	SF-468	19668	SAMN04026228 	PRJNA294467	Proteobacteria	Gammaproteobacteria	GCA_001280345.1 	5.35864	50.6061	chromosome:NZ_CP012625.1/CP012625.1; plasmid pSF-468-1:NZ_CP012626.1/CP012626.1; plasmid pSF-468-2:NZ_CP012627.1/CP012627.1; plasmid pSF-468-3:NZ_CP012628.1/CP012628.1; plasmid pSF-468-4:NZ_CP012629.1/CP012629.1; plasmid pSF-468-5:NZ_CP012630.1/CP012630.1	-	6	5683	5311	2015/09/09	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/345/GCF_001280345.1_ASM128034v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/345/GCA_001280345.1_ASM128034v1
Escherichia coli	SF-166	19668	SAMN04026226 	PRJNA294467	Proteobacteria	Gammaproteobacteria	GCA_001280385.1 	5.02518	50.6091	chromosome:NZ_CP012633.1/CP012633.1; plasmid pSF-166-1:NZ_CP012634.1/CP012634.1	-	2	5179	4861	2015/09/09	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/385/GCF_001280385.1_ASM128038v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/385/GCA_001280385.1_ASM128038v1
Escherichia coli	SF-173	19668	SAMN04026227 	PRJNA294467	Proteobacteria	Gammaproteobacteria	GCA_001280405.1 	5.15281	50.6434	chromosome:NZ_CP012631.1/CP012631.1; plasmid pSF-173-1:NZ_CP012632.1/CP012632.1	-	2	5334	5011	2015/09/09	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/405/GCF_001280405.1_ASM128040v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/280/405/GCA_001280405.1_ASM128040v1
Escherichia coli O157:H7	WS4202	19668	SAMN04103124 	PRJNA296759	Proteobacteria	Gammaproteobacteria	GCA_001307215.1 	5.42811	50.4461	chromosome:NZ_CP012802.1/CP012802.1; plasmid pO157-WS4202:NZ_CP012803.1/CP012803.1; plasmid pOSAK1-WS4202:NZ_CP012804.1/CP012804.1	-	3	5760	5354	2015/10/06	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/307/215/GCF_001307215.1_ASM130721v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/307/215/GCA_001307215.1_ASM130721v1
Escherichia coli str. K-12 substr. MG1655	K-12 substr. MG1655	19668	SAMN03203487 	PRJNA268139	Proteobacteria	Gammaproteobacteria	GCA_001308065.1 	4.64166	50.8	chromosome:NZ_CP012868.1/CP012868.1	-	1	4786	4478	2015/10/08	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/065/GCF_001308065.1_ASM130806v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/065/GCA_001308065.1_ASM130806v1
Escherichia coli	K-12 substr. MG1655_TMP32XR1	19668	SAMN03203488 	PRJNA268139	Proteobacteria	Gammaproteobacteria	GCA_001308125.1 	4.64168	50.8	chromosome:NZ_CP012869.1/CP012869.1	-	1	4786	4478	2015/10/08	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/125/GCF_001308125.1_ASM130812v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/125/GCA_001308125.1_ASM130812v1
Escherichia coli	K-12 substr. MG1655_TMP32XR2	19668	SAMN03203489 	PRJNA268139	Proteobacteria	Gammaproteobacteria	GCA_001308165.1 	4.64169	50.8	chromosome:NZ_CP012870.1/CP012870.1	-	1	4786	4478	2015/10/08	2017/02/24	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/165/GCF_001308165.1_ASM130816v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/165/GCA_001308165.1_ASM130816v1
Escherichia coli	2012C-4227	19668	SAMN03952643 	PRJNA218110	Proteobacteria	Gammaproteobacteria	GCA_001420935.1 	5.37521	50.6135	chromosome:NZ_CP013029.1/CP013029.1; plasmid unnamed1:NZ_CP013028.1/CP013028.1; plasmid unnamed2:NZ_CP013030.1/CP013030.1	-	3	5778	5105	2015/10/30	2017/03/05	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/420/935/GCF_001420935.1_ASM142093v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/420/935/GCA_001420935.1_ASM142093v1
Escherichia coli	2009C-3133	19668	SAMN02991226 	PRJNA218110	Proteobacteria	Gammaproteobacteria	GCA_001420955.1 	5.51434	50.8264	chromosome:NZ_CP013025.1/CP013025.1; plasmid unnamed1:NZ_CP013024.1/CP013024.1; plasmid unnamed2:NZ_CP013026.1/CP013026.1; plasmid unnamed3:NZ_CP013027.1/CP013027.1	-	4	5845	5388	2015/10/30	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/420/955/GCF_001420955.1_ASM142095v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/420/955/GCA_001420955.1_ASM142095v1
Escherichia coli	YD786	19668	SAMN04227566 	PRJNA300553	Proteobacteria	Gammaproteobacteria	GCA_001442495.1 	4.8635	50.6	chromosome:NZ_CP013112.1/CP013112.1	-	1	5018	4636	2015/11/10	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/442/495/GCF_001442495.1_ASM144249v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/442/495/GCA_001442495.1_ASM144249v1
Escherichia coli	CQSW20	19668	SAMN04288058 	PRJNA303642	Proteobacteria	Gammaproteobacteria	GCA_001455385.1 	4.57907	50.8	chromosome:NZ_CP013253.1/CP013253.1	-	1	4718	4222	2015/12/02	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/455/385/GCF_001455385.1_ASM145538v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/385/GCA_001455385.1_ASM145538v1
Escherichia coli	uk_P46212	19668	SAMN04159541 	PRJNA297860	Proteobacteria	Gammaproteobacteria	GCA_001469815.1 	5.25041	50.8548	chromosome:NZ_CP013658.1/CP013658.1; plasmid unnamed:NZ_CP013657.1/CP013657.1	-	2	5480	5093	2015/12/18	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/815/GCF_001469815.1_ASM146981v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/815/GCA_001469815.1_ASM146981v1
Escherichia coli	ST648	19668	SAMN02800875 	PRJNA248607	Proteobacteria	Gammaproteobacteria	GCA_001485455.1 	5.19583	50.6142	chromosome:NZ_CP008697.1/CP008697.1; plasmid pEC648_1:NZ_CP008715.1/CP008715.1; plasmid pEC648_2:NZ_CP008716.1/CP008716.1; plasmid pEC648_3:NZ_CP008717.1/CP008717.1; plasmid pEC648_4:NZ_CP008718.1/CP008718.1; plasmid pEC648_5:NZ_CP008719.1/CP008719.1; plasmid pEC648_6:NZ_CP008720.1/CP008720.1; plasmid pEC648_7:NZ_CP008721.1/CP008721.1	-	8	5335	4888	2016/01/05	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/485/455/GCF_001485455.1_ASM148545v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/455/GCA_001485455.1_ASM148545v1
Escherichia coli	CD306	19668	SAMN04381845 	PRJNA307507	Proteobacteria	Gammaproteobacteria	GCA_001513615.1 	5.21904	50.8584	chromosome:NZ_CP013831.1/CP013831.1; plasmid pCD306:NZ_CP013832.1/CP013832.1	-	2	5457	5089	2016/01/12	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/513/615/GCF_001513615.1_ASM151361v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/615/GCA_001513615.1_ASM151361v1
Escherichia coli	JJ2434	19668	SAMN04381854 	PRJNA307507	Proteobacteria	Gammaproteobacteria	GCA_001513635.1 	5.3171	50.8416	chromosome:NZ_CP013835.1/CP013835.1; plasmid pJJ2434_1:NZ_CP013833.1/CP013833.1; plasmid pJJ2434_2:NZ_CP013834.1/CP013834.1	-	3	5590	5196	2016/01/12	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/513/635/GCF_001513635.1_ASM151363v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/635/GCA_001513635.1_ASM151363v1
Escherichia coli	ACN002	19668	SAMN04385793 	PRJNA239653	Proteobacteria	Gammaproteobacteria	GCA_001515725.1 	4.87993	50.7	chromosome:NZ_CP007491.1/CP007491.1	-	1	5010	4653	2016/01/15	2017/02/25	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/725/GCF_001515725.1_ASM151572v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/515/725/GCA_001515725.1_ASM151572v1
